,ACC,TPR,F1,TP,TN,FP,FN
m2vDroid,0.9852739726027397,1.0,0.9922647958265876,2758,119,43,0
AAT,0.9955479452054794,0.9985496736765772,0.9976453541025175,2754,153,9,4
ABAT,0.9684931506849315,0.9713560551124003,0.983119266055046,2679,149,13,79
APAT,0.988013698630137,0.9981870920957215,0.9936834506406785,2753,132,30,5
ABPBTAT,0.9955479452054794,0.9970993473531544,0.9976419372392528,2750,157,5,8
APBPTAT,0.9708904109589042,0.9742567077592458,0.9844293826708188,2687,148,14,71
